uid,name,type,information,lng,lat,time_start,time_end
1,富岡,加油站,(089)280382,121.177029,22.778749,0,23
2,北基日盛,加油站,(089)331671,121.149405,22.751844,0,23
3,久井建成,加油站,(04)22877416,120.675315,24.126285,0,23
4,中潭,加油站,(049)2914170,120.935695,23.965226,0,23
5,博愛,加油站,(049)2336084,120.671006,23.988424,0,23
6,信興,加油站,(04)8812736,120.491459,23.954813,0,23
7,楠埔,加油站,(049)2552846,120.735473,23.983449,0,23
8,洽維,加油站,(04)26317135,120.581641,24.21122,0,23
9,重光,加油站,(04)23020562,120.657517,24.146861,0,23
10,員村(田中),加油站,(04)8748115,120.587627,23.872608,0,23
11,中宏,加油站,(049)2569919,120.707428,23.97796,0,23
12,饒明,加油站,(04)8336710,120.576174,23.941968,0,23
13,進化北路,加油站,(04)22341929,120.681876,24.162992,0,23
14,日茂,加油站,(04)8296981,120.522664,23.949734,0,23
15,台大豐原,加油站,(04)25121770,120.721309,24.272264,0,23
16,勝中,加油站,(04)7860888,120.544696,24.021144,0,23
17,忠明圓環,加油站,(04)23252807,120.658914,24.156271,0,23
18,清泉,加油站,(04)26153676,120.602283,24.248901,0,23
19,新田,加油站,(04)25375000,120.723047,24.213793,0,23
20,正豪,加油站,(04)22632300,120.655334,24.115423,0,23
21,新平,加油站,(04)22758731,120.715922,24.1336399,0,23
22,東虹,加油站,(04)22124320,120.696402,24.135166,0,23
23,彰鹿,加油站,(04)7766333,120.473741,24.048845,0,23
24,柑林,加油站,(049)2722768,120.840701,24.028043,0,23
25,神崗,加油站,(04)25610541,120.671138,24.256277,0,23
26,甲東,加油站,(04)26884227,120.638455,24.341691,0,23
27,員村和美,加油站,(04)7553433,120.517992,24.10251,0,23
28,豐源,加油站,(04)25313658,120.710869,24.237368,0,23
29,東大,加油站,(04)23599998,120.601051,24.182731,0,23
30,金忠,加油站,(04)26323127,120.580831,24.1984,0,23
31,自由,加油站,(04)22122780,120.701413,24.142645,0,23
32,五權路,加油站,(04)23755291,120.667027,24.132993,0,23
33,河南路,加油站,(04)27073666,120.645289,24.172045,0,23
34,明潭,加油站,(049)2777985,120.850446,23.811246,0,23
35,北基雅潭,加油站,(04)25313100,120.694374,24.215726,0,23
36,東湖,加油站,(04)24951468,120.697184,24.083249,0,23
37,水湳,加油站,(04)22911146,120.665253,24.1838839,0,23
